Plant state,Plant name,Plant Id,Balancing Authority Name,Balancing Authority Code,PCA Generation (MWh),Latitude,Longitude,Plant primary fuel,Plant primary fuel code,Net generation (MWh),CO2-e Emission (tons),Water intensity (m3/MWh),Carbon intensity (Tons/MWh),Generation Ratio of Power plant,Water Consumption (m3),Subbasin,HUC8,HUC8 ID
AZ,Arizona State University CHP,58199,Arizona Public Service Company,AZPS,17517674,33.417222,-111.928333,NG,GAS,49149,15064,0.80,0.31,0.0028,39173,Lower Salt,15060106,15060106
AZ,Arizona Western College PV,57765,Arizona Public Service Company,AZPS,17517674,32.687778,-114.49611,SUN,SOLAR,8942,0,0.01,0.00,0.0005,68,Lower Gila,15070201,15070201
AZ,Arlington Valley Energy Facility,55282,"Arlington Valley, LLC - AVBA",DEAA,2120507,33.3417,-112.8897,NG,GAS,2120507,916921,1.18,0.43,1.0000,2495569,Centennial Wash,15070104,15070104
AZ,Arlington Valley Solar Energy II,57680,Arizona Public Service Company,AZPS,17517674,33.305,-112.833888,SUN,SOLAR,335124,0,0.01,0.00,0.0191,2547,Centennial Wash,15070104,15070104
AZ,Arzon Solar UASTP Solar Power Station,57930,Tucson Electric Power Company,TEPC,12326506,32.108147,-110.824662,SUN,SOLAR,96,0,0.01,0.00,0.0000,1,Upper Santa Cruz,15050301,15050301
AZ,Avalon Solar,59168,Tucson Electric Power Company,TEPC,12326506,32.001389,-110.960556,SUN,SOLAR,77069,0,0.01,0.00,0.0063,586,Upper Santa Cruz,15050301,15050301
AZ,Avalon Solar II,60062,Tucson Electric Power Company,TEPC,12326506,32.000854,-110.958427,SUN,SOLAR,43262,0,0.01,0.00,0.0035,329,Upper Santa Cruz,15050301,15050301
AZ,Avra Valley Solar,57657,Tucson Electric Power Company,TEPC,12326506,32.371667,-111.282777,SUN,SOLAR,72166,0,0.01,0.00,0.0059,548,Brawley Wash,15050304,15050304
AZ,Badger 1,58262,Arizona Public Service Company,AZPS,17517674,33.498003,-112.813458,SUN,SOLAR,40448,0,0.01,0.00,0.0023,307,Lower Gila-Painted Rock Reservoir,15070101,15070101
AZ,Black Mountain Generating Station,56482,Tucson Electric Power Company,TEPC,12326506,35.0361,-114.1594,NG,GAS,79795,48098,0.80,0.60,0.0065,63599,Sacramento Wash,15030103,15030103
